category,website,name,phone,address,email
"Cheerleading,Flag Football",,"
									1.
								,Parkville Vikings Football and Cheer,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.225.2135'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-0955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(785) 379-9933'>]","Kansas City, MO, 64152",
"Cheerleading,Football",,"
									2.
								,Pop Warner - Central Mo/Kan ,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.225.2135'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-0955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(785) 379-9933'>]","Independence, 64057",
"Cheerleading,Football",,"Pop Warner - Heart of America,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.225.2135'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-0955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(785) 379-9933'>]",,
"Cheerleading,Football",,"
									3.
								,Pop Warner - Johnson County ,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.225.2135'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-0955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(785) 379-9933'>]","Olathe, 66061",
"Cheerleading,Flag Football",,"
									4.
								,The Flag Football League of Kansas City,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.225.2135'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-0955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(785) 379-9933'>]","Kansas City, MO",
"Basketball,Cheerleading,Flag Football,Soccer",,"
									5.
								,Upward Sports - College Church of the Nazarene,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.225.2135'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-0955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(785) 379-9933'>]","2020 E. Sheridan,Olathe, 66062",
"Basketball,Cheerleading",,"
									6.
								,Upwards Sports - Christ United Methodist Church,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.225.2135'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-0955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(785) 379-9933'>]","14506 E. 39th St.,Independence, 64055",
"Basketball,Cheerleading",,"
									7.
								,Upwards Sports - Community Christian Church,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.225.2135'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-0955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(785) 379-9933'>]","1919 Horton St,Fort Scott, 66701",
"Basketball,Cheerleading",,"
									8.
								,Upwards Sports - East Side Baptist Church Independence,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.225.2135'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-0955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(785) 379-9933'>]","19901 E State Route 78,Independence, 64057",
"Basketball,Cheerleading",,"
									9.
								,Upwards Sports - East Side Baptist Church Topeka,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.225.2135'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-0955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(785) 379-9933'>]","4425 SE 29th St.,Topeka, 66605",
"Basketball,Cheerleading",,"
									1.
								,Upwards Sports - First Baptist Church Kearney,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-628-5693'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-353-1994'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'660-826-2160'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-267-0380'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(620) 342-2858'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'417-682-6371'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-279-3621'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-233-0239'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-599-6447'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-631-0637'>]","303 S Grove St,Kearney, 64060",
"Basketball,Cheerleading,Soccer",,"
									2.
								,Upwards Sports - First Baptist Church Raytown,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-628-5693'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-353-1994'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'660-826-2160'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-267-0380'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(620) 342-2858'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'417-682-6371'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-279-3621'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-233-0239'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-599-6447'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-631-0637'>]","10500 E State Route 350,Raytown, 64138",
"Basketball,Cheerleading",,"
									3.
								,Upwards Sports - First Baptist Church Sedalia,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-628-5693'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-353-1994'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'660-826-2160'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-267-0380'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(620) 342-2858'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'417-682-6371'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-279-3621'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-233-0239'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-599-6447'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-631-0637'>]","200 E 6th St,Sedalia, 65301",
"Basketball,Cheerleading",,"
									4.
								,Upwards Sports - First Baptist Church Topeka,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-628-5693'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-353-1994'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'660-826-2160'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-267-0380'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(620) 342-2858'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'417-682-6371'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-279-3621'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-233-0239'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-599-6447'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-631-0637'>]","3033 SW MacVicar Ave,Topeka, 66611",
"Basketball,Cheerleading",,"
									5.
								,Upwards Sports - First Church Of The Nazarene,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-628-5693'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-353-1994'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'660-826-2160'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-267-0380'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(620) 342-2858'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'417-682-6371'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-279-3621'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-233-0239'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-599-6447'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-631-0637'>]","2931 W 24th Ave,Emporia, 66801",
"Basketball,Cheerleading",,"
									6.
								,Upwards Sports - Grace Place,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-628-5693'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-353-1994'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'660-826-2160'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-267-0380'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(620) 342-2858'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'417-682-6371'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-279-3621'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-233-0239'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-599-6447'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-631-0637'>]","500 NE 30th Rd,Lamar, 64759",
"Basketball,Cheerleading",,"
									7.
								,Upwards Sports - Green Valley Baptist Church,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-628-5693'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-353-1994'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'660-826-2160'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-267-0380'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(620) 342-2858'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'417-682-6371'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-279-3621'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-233-0239'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-599-6447'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-631-0637'>]","3110 Cook Road,Saint Joseph, 64506",
"Basketball,Cheerleading",,"
									8.
								,Upwards Sports - Huffman Memorial United Methodist Church ,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-628-5693'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-353-1994'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'660-826-2160'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-267-0380'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(620) 342-2858'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'417-682-6371'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-279-3621'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-233-0239'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-599-6447'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-631-0637'>]","2802 Renick St,Saint Joseph, 64507",
"Basketball,Cheerleading",,"
									9.
								,Upwards Sports - Lenexa Baptist Church,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-628-5693'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-353-1994'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'660-826-2160'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-267-0380'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(620) 342-2858'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'417-682-6371'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-279-3621'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-233-0239'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-599-6447'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-631-0637'>]","15320 W 87th Street Pkwy,Lenexa, 66219",
"Basketball,Cheerleading",,"
									10.
								,Upwards Sports - Maranatha Academy,Basketball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-628-5693'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-353-1994'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'660-826-2160'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-267-0380'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(620) 342-2858'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'417-682-6371'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-279-3621'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-233-0239'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-599-6447'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-631-0637'>]","6826 Lackman Rd,Shawnee, 66217",
Cheerleading,,"
									1.
								,All American Cheer & Stunt,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","921 W 141st Terrace,Kansas City, MO, 64145",
"Cheerleading,Gymnastics,Dance",,"
									2.
								,Diamond Gymnastics and Dance Academy Inc.,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","7270 West 161st St.,Overland Park, 66085",
"Cheerleading,Gymnastics",,"
									3.
								,EDGE Gymnastics - Riverside,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","5050 NW GATEWAY AVE.,Riverside, 64150",
"Cheerleading,Football,Flag Football",,"
									4.
								,Football & Cheerleading Club of Johnson County, Inc.,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 339-6066'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.228.7775'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-681-6993'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-764-8282'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-331-0013'>]","6740 Antioch ,Suite 250,Merriam, 66204",
