category,website,name,phone,address,email
Girls Volleyball,,"
									8.
								,DYNASTY,Girls Volleyball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-706-3512'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-8702'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-600-8383'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-286-3025'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-741-1185'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-429-5920'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-645-5716'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-537-0032'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-9553'>]","11326 S Parish Street,Olathe, 66061",
Girls Volleyball,,"
									9.
								,Eastern Edge Element VBC,Girls Volleyball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-706-3512'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-8702'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-600-8383'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-286-3025'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-741-1185'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-429-5920'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-645-5716'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-537-0032'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-9553'>]","4017 SW Ward Rd,Lees Summit, 64082",
Tennis,,"
									1.
								,Blue Hills Country Club  ,Tennis","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.942.3292 '>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.980.5464'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.363.6203'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.781.7939'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.897.4444'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.345.9292'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.356.6651'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.262.4100'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.6200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.8100'>]","777 W. Burning Tree Drive ,Kansas City, MO, 64145",
"Cheerleading,Football,Flag Football",,"
									1.
								,Football & Cheerleading Club of Johnson County, Inc.,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 820-6882'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>]","6740 Antioch ,Suite 250,Merriam, 66204",
Girls Volleyball,,"
									10.
								,Extreme MAVS,Girls Volleyball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-706-3512'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-796-8702'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-600-8383'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'785-286-3025'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-741-1185'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-429-5920'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-645-5716'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-537-0032'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-9553'>]","2409 SW Kenwill Drive,Lees Summit, 64082",
Tennis,,"
									2.
								,Blue Valley Recreation,Tennis","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.942.3292 '>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.980.5464'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.363.6203'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.781.7939'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.897.4444'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.345.9292'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.356.6651'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.262.4100'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.6200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.8100'>]","16200 Antioch Road               ,Overland Park, 66085-9382",
Tennis,,"
									3.
								,Carriage Club  ,Tennis","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.942.3292 '>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.980.5464'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.363.6203'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.781.7939'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.897.4444'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.345.9292'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.356.6651'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.262.4100'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.6200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.8100'>]","5301 State Line,Kansas City, MO, 64112",
Tennis,,"
									4.
								,Clayview Country Club     ,Tennis","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.942.3292 '>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.980.5464'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.363.6203'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.781.7939'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.897.4444'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.345.9292'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.356.6651'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.262.4100'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.6200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.8100'>]","7990 N. Farley Avenue,Kansas City, MO, 64158",
Tennis,,"
									5.
								,Elite Squad Tennis Club  ,Tennis","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.942.3292 '>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.980.5464'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.363.6203'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.781.7939'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.897.4444'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.345.9292'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.356.6651'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.262.4100'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.6200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.8100'>]","14481 Metcalf Avenue,Overland Park, 66223",
Tennis,,"
									6.
								,Hallbrook Country Club  ,Tennis","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.942.3292 '>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.980.5464'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.363.6203'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.781.7939'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.897.4444'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.345.9292'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.356.6651'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.262.4100'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.6200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.8100'>]","11300 Overbrook,Leawood, 66211",
"Cheerleading,Football,Flag Football",,"
									2.
								,North Suburban Youth Football League,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 820-6882'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>]","Kansas City, MO",
"Football,Flag Football",,"
									3.
								,Platte County Youth Football League,Football","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 820-6882'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>]","Platte City, 64079",
"Cheerleading,Football",,"
									4.
								,Pop Warner - Central Mo/Kan ,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 820-6882'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>]","Independence, 64057",
"Cheerleading,Football",,"Pop Warner - Heart of America,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 820-6882'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>]",,
"Cheerleading,Football",,"
									5.
								,Pop Warner - Johnson County ,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 820-6882'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>]","Olathe, 66061",
Football,,Football,"[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 820-6882'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>]",,
"Cheerleading,Football",,"6. ,Cheerleading","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.831.6000\xa0'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816 820-6882'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 749-2828'>]",64068,
Lacrosse,,"
									1.
								,Blue Lion Lacrosse,Lacrosse","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 909-9436'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-549-4173'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 787-2554'>]","Kansas City, MO",
Gymnastics,,"
									1.
								,Arising Stars Gymnastics,Gymnastics","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-232-7502'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-648-2626'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-788-9792'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816) 452-3200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-525-5650'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-829-3006'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-851-7500'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816) 941-9529'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-407-9555'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-587-2242'>]","18950 North Highway 71 ,Saint Joseph, 64506",
Fastpitch Softball,,"
									1.
								,Blue Springs Girls Softball Association,Fastpitch Softball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-716-4520'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(816)813-5473'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-905-5900'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-423-4088'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 438-7275'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-244-1041'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-782-1955'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-225-6126'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-942-9992'>]","6500 NW Valley View Road,Blue Springs, 64105",
"Baseball,Basketball,Fastpitch Softball,Girls Volleyball",,"
									1.
								,Blue Valley Recreation,Baseball","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.685.6000'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 856-7535'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-904-0810'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 438-7275'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-513-0632'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913)287-2111'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 489-6287'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-524-7288'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816-461-1101'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'620-223-1500'>]","6545 W. 151st Street,Overland Park, 66223",
Tennis,,"
									7.
								,Hilltop Racquet Club   ,Tennis","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.942.3292 '>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.980.5464'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.363.6203'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.781.7939'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.897.4444'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.345.9292'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.356.6651'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.262.4100'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.6200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.8100'>]","6600 E 87th St,Kansas City, MO, 64138",
Tennis,,"
									8.
								,Homestead Country Club ,Tennis","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.942.3292 '>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.980.5464'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.363.6203'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.781.7939'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.897.4444'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.345.9292'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.356.6651'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.262.4100'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.6200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.8100'>]","6510 Mission Road ,Prairie Village, 66208",
Tennis,,"
									9.
								,Indian Hills Country Club  ,Tennis","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.942.3292 '>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.980.5464'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.363.6203'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.781.7939'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.897.4444'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.345.9292'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.356.6651'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.262.4100'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.6200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.8100'>]","6847 Tomahawk Road ,Mission Hills, 66208",
Tennis,,"
									10.
								,Kansas City Country Club  ,Tennis","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.942.3292 '>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.980.5464'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.363.6203'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.781.7939'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.897.4444'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.345.9292'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'816.356.6651'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.262.4100'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.6200'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913.362.8100'>]","6200 Indian Lane ,Mission Hills, 66208",
Lacrosse,,"
									2.
								,Blue Valley Girls Lacrosse,Lacrosse","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 909-9436'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-549-4173'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 787-2554'>]",Overland Park,
Lacrosse,,"Blue Valley Youth Lacrosse of Overland Park, KS,Lacrosse","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 909-9436'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-549-4173'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 787-2554'>]",,
Lacrosse,,"
									3.
								,Brookside Lacrosse,Lacrosse","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 909-9436'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-549-4173'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 787-2554'>]","7600 Wyandotte St,Kansas City, MO",
Lacrosse,,"
									4.
								,Kansas City Youth Lacrosse League for Boys,Lacrosse","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 909-9436'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-549-4173'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 787-2554'>]","Kansas City, MO",
Lacrosse,,"
									5.
								,KC Metro Girls Lacrosse Association,Lacrosse","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 909-9436'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-549-4173'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 787-2554'>]","Kansas City, MO",
Lacrosse,,"
									6.
								,Leawood Storm,Lacrosse","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 909-9436'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-549-4173'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 787-2554'>]",Leawood,
Lacrosse,,"
									7.
								,Lee Summit,Lacrosse","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 909-9436'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-549-4173'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 787-2554'>]",Lees Summit,
Lacrosse,,"
									8.
								,Northland,Lacrosse","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 909-9436'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-549-4173'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 787-2554'>]","Kansas City, MO",
Lacrosse,,"
									9.
								,Olathe Crush Youth Lacrosse Club,Lacrosse","[<Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 909-9436'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'913-549-4173'>, <Selector xpath='/.//*[@class=""hide""]/text()' data=u'(913) 787-2554'>]",Olathe,
